,Question,Option A,Option B,Option C,Option D,Correct Answer
0,"An insect which is climbing on a vertical pole in such a way that one day it climbs a height of 2m on the next day it comes down 1 m  If the height of the pole is 12 m, find the no  of days in which it will reach on the top",a. 11 days,b. 12 days,c. 21 days,d. 22 days,(c)
3,"ACEY, BDFX, CAZF, DBYG, CEGW,____, ECXH",a. DFHY,b. FDWG,c. WGEC,d. DFHV,(d)
5,"5, 11, 24, 51, 106, ____",a. 206,b. 207,c. 211,d. 217,(d)
8,"2, 5, 7, 4, 7, 11, 6, 9, 15, 8, ____, ____","a. 11, 17","b. 10, 19","c. 11, 19","d. 13, 21",(c)
13,R s T : t S r : : P q R : ?,a. P q r,b. P Q r,c. r Q P,d. R q P,(c)
15,Area : Square : : Volume : ?,a. Rectangle,b. Circle,c. Cylinder,d. Square,(c)
17,"No  14 to Q No  15): In the group of words given below all except one, share a common similarity  Select the odd one:",a. Carrot,b. Radish,c. Garlic,d. Brinjal,(d)
33,"Four friends P, Q, R, and S start walking from a point O and after walking 5km, each turn left  If P northwards, Q westwards, R southwards and S eastwards start walking, then after walking how many km, they will meet each other at the same point ?",a. 20 km each,b. 15 km each,c. 35 km each,d. 45 km each,(a)
35,"In a competition, Rohan obtained more marks than Pinki and Sumit  Gaurav obtained less marks than Pinki but more than Rupa  Sumit obtained more marks than Gaurav but less than Pinki  Then keeping marks obtained in ascending order, who was at the third position?",a. Rupa,b. Sumit,c. Gaurav,d. Rohan,(b)
42,"If m = n (mod5) iff 5 divides (m – n), e g  7 = 2 (mod 5), 8 = 3 (mod5), then 27 = ? (mod 8)",a. 2,b. 3,c. 4,d. 7,(b)
44,"When 5 divides 8 gives remainder 3, 7 divides – 4 gives remainder 3, 2 divides -1 gives remainder 1, then when 4 divides – 6 gives remainder?",a. 2,b. 0,c. 3,d. 1,(a)
47,Digit at unit place of (-1+1+1-1+1+1-1+1+1)73 is:,a. 3,b. 9,c. 7,d. 1,(a)
52,"A herd of monkeys gathered in the morning at 8 O’clock  After that every 2 hours 5 monkeys went out and 10 monkeys came in  At 4 O’clock afternoon, the number of monkeys became 50  How many monkeys were in the herd at 9 O’clock in the morning?",a. 20,b. 25,c. 40,d. 30,(d)
56,"Salary of P is 50% more than Q but 50% less than R  If salary of Q is Rs  15,000, then what is the salary of R?","a. Rs. 45,000","b. Rs. 15,000","c. Rs. 22,500","d. Rs. 27,000",(a)
