Question id,Question,Option 1,Option 2,Option 3,Option 4,Correct Option,Generated Option,Truth
0,"An insect which is climbing on a vertical pole in such a way that one day it climbs a height of 2m on the next day it comes down 1 m  If the height of the pole is 12 m, find the no  of days in which it will reach on the top",a. 11 days,b. 12 days,c. 21 days,d. 22 days,c,b,Wrong
1,"ACEY, BDFX, CAZF, DBYG, CEGW,____, ECXH",a. DFHY,b. FDWG,c. WGEC,d. DFHV,d,c,Wrong
2,"5, 11, 24, 51, 106, ____",a. 206,b. 207,c. 211,d. 217,d,c,Wrong
3,"2, 5, 7, 4, 7, 11, 6, 9, 15, 8, ____, ____","a. 11, 17","b. 10, 19","c. 11, 19","d. 13, 21",c,c,Right
4,R s T : t S r : : P q R : ?,a. P q r,b. P Q r,c. r Q P,d. R q P,c,c,Right
5,Area : Square : : Volume : ?,a. Rectangle,b. Circle,c. Cylinder,d. Square,c,c,Right
6,"No  14 to Q No  15): In the group of words given below all except one, share a common similarity  Select the odd one:",a. Carrot,b. Radish,c. Garlic,d. Brinjal,d,d,Right
7,"Four friends P, Q, R, and S start walking from a point O and after walking 5km, each turn left  If P northwards, Q westwards, R southwards and S eastwards start walking, then after walking how many km, they will meet each other at the same point ?",a. 20 km each,b. 15 km each,c. 35 km each,d. 45 km each,a,d,Wrong
8,"In a competition, Rohan obtained more marks than Pinki and Sumit  Gaurav obtained less marks than Pinki but more than Rupa  Sumit obtained more marks than Gaurav but less than Pinki  Then keeping marks obtained in ascending order, who was at the third position?",a. Rupa,b. Sumit,c. Gaurav,d. Rohan,b,c,Wrong
9,"If m = n (mod5) iff 5 divides (m – n), e g  7 = 2 (mod 5), 8 = 3 (mod5), then 27 = ? (mod 8)",a. 2,b. 3,c. 4,d. 7,b,b,Right
10,"When 5 divides 8 gives remainder 3, 7 divides – 4 gives remainder 3, 2 divides -1 gives remainder 1, then when 4 divides – 6 gives remainder?",a. 2,b. 0,c. 3,d. 1,a,c,Wrong
11,Digit at unit place of (-1+1+1-1+1+1-1+1+1)73 is:,a. 3,b. 9,c. 7,d. 1,a,b,Wrong
12,"A herd of monkeys gathered in the morning at 8 O’clock  After that every 2 hours 5 monkeys went out and 10 monkeys came in  At 4 O’clock afternoon, the number of monkeys became 50  How many monkeys were in the herd at 9 O’clock in the morning?",a. 20,b. 25,c. 40,d. 30,d,b,Wrong
13,"Salary of P is 50% more than Q but 50% less than R  If salary of Q is Rs  15,000, then what is the salary of R?","a. Rs. 45,000","b. Rs. 15,000","c. Rs. 22,500","d. Rs. 27,000",a,c,Wrong
14,"If ages of Mohan, Sohan and Rohan are in the ratio 2 : 3 : 4, ages of Sohan, Rohan and Tori are in the ratio 3 : 4 : 3 and if the present age of Mohan is 12 years, then how many years is the age of Tori?",a. 27,b. 24,c. 18,d. 16,c,a,Wrong
15,"If for 30 animals 210 kg  grains are sufficient for 18 days, then for 24 animals 280 kg  grains are sufficient for how many days?",a. 28,b. 30,c. 35,d. 23 ¼,b,c,Wrong
16,Half of one-fourth of one-third of a number is 8  Then what will be ⅜ of that number?,a. 35,b. 35,c. 70,d. 72,d,d,Right
17,Four positions of a dice are shown below  How many dots are contained on the face opposite to that containing four dots?,a. 4,b. 1,c. 2,d. 3,b,c,Wrong
18,A cube painted red on all of its faces is cut into 64 small cubes of equal size  How many small cubes are painted red on at least two faces ?,a. 4,b. 8,c. 32,d. 24,c,c,Right
19,Two particles are placed at some distance from each other  Keeping the distance between them unchanged the mass of each particle is doubled then the value of gravitational force between them will be:,a. ¼ times,b. 4 times,c. ½ times,d. 2 times,b,b,Right
20,The momentum of a bullet of mass 20 gram fired from a gun is 10 kg  meter/second  The kinetic energy of this bullet is:,a. 5 kilojoule,b. 1.5 kilojoule,c. 2.5 kilojoule,d. 25 kilojoules,c,b,Wrong
21,An investigator team transmitted an ultrasound signal to the sea bed  The signal is received back in 4 seconds  If the speed of sound in seawater is 1500 meter/second then the depth of the sea is:,a. 3 km,b. 6 km,c. 4.5 km,d. 1.5 km,a,b,Wrong
22,A conducting wire of resistance 4 R Ω is bent in the form of a circle what is the effective resistance between the ends of the diameter:,a. R Ω,b. 4 R Ω,c. 1/R Ω,d. 1/4R Ω,a,d,Wrong
23,The time period of 500Hz wave will be:,a. 0.002 second,b. 0.02 second,c. 0.2 second,d. 2 second,a,b,Wrong
24,The force exerted on a conductor placed in a uniform magnetic field is maximum when the angle between the magnetic field and conductor is:,a. 45o,b. 90o,c. 30o,d. 60o,b,b,Right
25,"The refractive indices of four substances, A, B, C and D are respectively 1 50, 1 36, 1 70 and 1 31  Out of these substances which substance will have a maximum speed of light:",a. A,b. B,c. C,d. D,d,a,Wrong
26,A convex lens of focal length 8cm  Forms a real image of the same size as the object  Then the distance between object and image will be:,a. 8 cm,b. 16 cm,c. 32 cm,d. 24 cm,c,b. 16 cm,Wrong
27,According to Oersted’s experiment of the magnetic effect of electric current if wire kept parallel and above the magnetic needle and current is flowing from south to north direction then deflection of the north side of the magnetic needle is towards:,a. North,b. South,c. East,d. West,d,b,Wrong
28,The ratio of displacement to the distance of a moving object it:,a. More than 1,b. Less than 1,c. Equal to or less than 1,d. Equal to or more than 1.,c,c,Right
29,In molecular formula CH3 – CH = CH2 the number of single bonds are:,a. 9,b. 8,c. 7,d. 6,c,c,Right
30,Acid in which both functional groups – OH and – COOH present is:,a. Tartaric acid,b. Ethanoic acid,c. Formic acid,d. Oxalic acid,a,d,Wrong
31,Ionization energy increases from left to right across a period because:,a. Less energy is required to release electrons from the outer shell.,b. Nuclear attraction decreases on electrons,c. Nuclear attraction increases on electrons,d. Atomic size increases gradually.,c,c,Right
32,Which of the following elements would lose an electron easily?,a. Na,b. CI,c. F,d. O,a,c,Wrong
33,What would be the electronic configuration of a positively charged magnesium ion (Mg2+)?,"a. 2, 8, 2","b. 2, 8","c. 2, 8, 4","d. 2, 8, 8",b,a,Wrong
34,Which one of the following metals does not corrode easily?,a. Iron,b. Copper,c. Magnesium,d. Platinum,d,d,Right
35,The number of molecules present in 8 0 g of oxygen molecule will be:,a. 2.011 × 1023,b. 3.011 × 1023,c. 1.505 × 1023,d. 6.022 × 1023,c,d,Wrong
36,Which of the following hydrocarbon contains a triple bond?,a. C3H4,b. C2H6,c. C3H6,d. C3H8,a,c,Wrong
37,"In blast furnace, Fe2O3 is reduced to Fe by:",a. C,b. CO,c. SiO2,d. CaCO3,b,b,Right
38,"The atomic number of four elements P, Q, R, and S are 6, 10, 12, and 17 respectively  Which two elements can combine to form a covalent compound:",a. P and R,b. Q and S,c. P and S,d. R and S,c,b,Wrong
39,"The formula of aluminium nitride is AIN, then the formula of magnesium nitride will be:",a. MgN,b. MgN2,c. Mg3N2,d. Mg2N3,c,c,Right
40,Lack of oxygen in muscles leads to the formation of this acid in the body:,a. Lactic Acid,b. Acetic Acid,c. Pyruvic Acid,d. Hydrochloric Acid,a,a,Right
41,‘B’ and ‘T’ Cells are:,a. Erythrocytes,b. Lymphocytes,c. Plastocytes,d. Blastocytes,b,b,Right
42,The Astronauts on the moon can not talk with each other because of:,a. Very low temperature on moon,b. Very much noise on moon,c. The atmosphere on moon,d. No atmosphere on the moon,d,d,Right
